Fila,n,C(n)
FLEV1,255,764
FLEV2,255,765
FLEV3,255,1020
FLEV4,255,2037
FLC,256,256
FLEV1,256,767
FLEV2,256,768
FLEV3,256,1024
FLEV4,256,2045
FLC,257,257
FLEV1,257,770
FLEV2,257,771
FLEV3,257,1028
FLEV4,257,2053
FLC,258,258
FLEV1,258,773
FLEV2,258,774
FLEV3,258,1032
FLEV4,258,2061
FLC,259,259
FLEV1,259,776
FLEV2,259,777
FLEV3,259,1036
FLEV4,259,2069
FLC,260,260
FLEV1,260,779
FLEV2,260,780
FLEV3,260,1040
FLEV4,260,2077
FLC,261,261
FLEV1,261,782
FLEV2,261,783
FLEV3,261,1044
FLEV4,261,2085
FLC,262,262
FLEV1,262,785
FLEV2,262,786
FLEV3,262,1048
FLEV4,262,2093
FLC,263,263
FLEV1,263,788
FLEV2,263,789
FLEV3,263,1052
FLEV4,263,2101
FLC,264,264
FLEV1,264,791
FLEV2,264,792
FLEV3,264,1056
FLEV4,264,2109
FLC,265,265
FLEV1,265,794
FLEV2,265,795
FLEV3,265,1060
FLEV4,265,2117
FLC,266,266
FLEV1,266,797
FLEV2,266,798
FLEV3,266,1064
FLEV4,266,2125
FLC,267,267
FLEV1,267,800
FLEV2,267,801
FLEV3,267,1068
FLEV4,267,2133
FLC,268,268
FLEV1,268,803
FLEV2,268,804
FLEV3,268,1072
FLEV4,268,2141
FLC,269,269
FLEV1,269,806
FLEV2,269,807
FLEV3,269,1076
FLEV4,269,2149
FLC,270,270
FLEV1,270,809
FLEV2,270,810
FLEV3,270,1080
FLEV4,270,2157
FLC,271,271
FLEV1,271,812
FLEV2,271,813
FLEV3,271,1084
FLEV4,271,2165
FLC,272,272
FLEV1,272,815
FLEV2,272,816
FLEV3,272,1088
FLEV4,272,2173
FLC,273,273
FLEV1,273,818
FLEV2,273,819
FLEV3,273,1092
FLEV4,273,2181
FLC,274,274
FLEV1,274,821
FLEV2,274,822
FLEV3,274,1096
FLEV4,274,2189
FLC,275,275
FLEV1,275,824
FLEV2,275,825
FLEV3,275,1100
FLEV4,275,2197
FLC,276,276
FLEV1,276,827
FLEV2,276,828
FLEV3,276,1104
FLEV4,276,2205
FLC,277,277
FLEV1,277,830
FLEV2,277,831
FLEV3,277,1108
FLEV4,277,2213
FLC,278,278
FLEV1,278,833
FLEV2,278,834
FLEV3,278,1112
FLEV4,278,2221
FLC,279,279
FLEV1,279,836
FLEV2,279,837
FLEV3,279,1116
FLEV4,279,2229
FLC,280,280
FLEV1,280,839
FLEV2,280,840
FLEV3,280,1120
FLEV4,280,2237
FLC,281,281
FLEV1,281,842
FLEV2,281,843
FLEV3,281,1124
FLEV4,281,2245
FLC,282,282
FLEV1,282,845
FLEV2,282,846
FLEV3,282,1128
FLEV4,282,2253
FLC,283,283
FLEV1,283,848
FLEV2,283,849
FLEV3,283,1132
FLEV4,283,2261
FLC,284,284
FLEV1,284,851
FLEV2,284,852
FLEV3,284,1136
FLEV4,284,2269
FLC,285,285
FLEV1,285,854
FLEV2,285,855
FLEV3,285,1140
FLEV4,285,2277
FLC,286,286
FLEV1,286,857
FLEV2,286,858
