Fila,n,C(n)
FLEV1,7994,23981
FLEV2,7994,23982
FLEV3,7994,31976
FLEV4,7994,63949
FLC,7995,7995
FLEV1,7995,23984
FLEV2,7995,23985
FLEV3,7995,31980
FLEV4,7995,63957
FLC,7996,7996
FLEV1,7996,23987
FLEV2,7996,23988
FLEV3,7996,31984
FLEV4,7996,63965
FLC,7997,7997
FLEV1,7997,23990
FLEV2,7997,23991
FLEV3,7997,31988
FLEV4,7997,63973
FLC,7998,7998
FLEV1,7998,23993
FLEV2,7998,23994
FLEV3,7998,31992
FLEV4,7998,63981
FLC,7999,7999
FLEV1,7999,23996
FLEV2,7999,23997
FLEV3,7999,31996
FLEV4,7999,63989
FLC,8000,8000
FLEV1,8000,23999
FLEV2,8000,24000
FLEV3,8000,32000
FLEV4,8000,63997
FLC,8001,8001
FLEV1,8001,24002
FLEV2,8001,24003
FLEV3,8001,32004
FLEV4,8001,64005
FLC,8002,8002
FLEV1,8002,24005
FLEV2,8002,24006
FLEV3,8002,32008
FLEV4,8002,64013
FLC,8003,8003
FLEV1,8003,24008
FLEV2,8003,24009
FLEV3,8003,32012
FLEV4,8003,64021
FLC,8004,8004
FLEV1,8004,24011
FLEV2,8004,24012
FLEV3,8004,32016
FLEV4,8004,64029
FLC,8005,8005
FLEV1,8005,24014
FLEV2,8005,24015
FLEV3,8005,32020
FLEV4,8005,64037
FLC,8006,8006
FLEV1,8006,24017
FLEV2,8006,24018
FLEV3,8006,32024
FLEV4,8006,64045
FLC,8007,8007
FLEV1,8007,24020
FLEV2,8007,24021
FLEV3,8007,32028
FLEV4,8007,64053
FLC,8008,8008
FLEV1,8008,24023
FLEV2,8008,24024
FLEV3,8008,32032
FLEV4,8008,64061
FLC,8009,8009
FLEV1,8009,24026
FLEV2,8009,24027
FLEV3,8009,32036
FLEV4,8009,64069
FLC,8010,8010
FLEV1,8010,24029
FLEV2,8010,24030
FLEV3,8010,32040
FLEV4,8010,64077
FLC,8011,8011
FLEV1,8011,24032
FLEV2,8011,24033
FLEV3,8011,32044
FLEV4,8011,64085
FLC,8012,8012
FLEV1,8012,24035
FLEV2,8012,24036
FLEV3,8012,32048
FLEV4,8012,64093
FLC,8013,8013
FLEV1,8013,24038
FLEV2,8013,24039
FLEV3,8013,32052
FLEV4,8013,64101
FLC,8014,8014
FLEV1,8014,24041
FLEV2,8014,24042
FLEV3,8014,32056
FLEV4,8014,64109
FLC,8015,8015
FLEV1,8015,24044
FLEV2,8015,24045
FLEV3,8015,32060
FLEV4,8015,64117
FLC,8016,8016
FLEV1,8016,24047
FLEV2,8016,24048
FLEV3,8016,32064
FLEV4,8016,64125
FLC,8017,8017
FLEV1,8017,24050
FLEV2,8017,24051
FLEV3,8017,32068
FLEV4,8017,64133
FLC,8018,8018
FLEV1,8018,24053
FLEV2,8018,24054
FLEV3,8018,32072
FLEV4,8018,64141
FLC,8019,8019
FLEV1,8019,24056
FLEV2,8019,24057
FLEV3,8019,32076
FLEV4,8019,64149
FLC,8020,8020
FLEV1,8020,24059
FLEV2,8020,24060
FLEV3,8020,32080
FLEV4,8020,64157
FLC,8021,8021
FLEV1,8021,24062
FLEV2,8021,24063
FLEV3,8021,32084
FLEV4,8021,64165
FLC,8022,8022
FLEV1,8022,24065
FLEV2,8022,24066
FLEV3,8022,32088
FLEV4,8022,64173
FLC,8023,8023
FLEV1,8023,24068
FLEV2,8023,24069
FLEV3,8023,32092
FLEV4,8023,64181
FLC,8024,8024
FLEV1,8024,24071
FLEV2,8024,24072
FLEV3,8024,32096
FLEV4,8024,64189
FLC,8025,8025
FLEV1,8025,24074
FLEV2,8025,24075
FLEV3,8025,32100
FLEV4,8025,64197
FLC,8026,8026
FLEV1,8026,24077
FLEV2,8026,24078
FLEV3,8026,32104
FLEV4,8026,64205
FLC,8027,8027
FLEV1,8027,24080
FLEV2,8027,24081
FLEV3,8027,32108
FLEV4,8027,64213
FLC,8028,8028
FLEV1,8028,24083
FLEV2,8028,24084
FLEV3,8028,32112
FLEV4,8028,64221
FLC,8029,8029
FLEV1,8029,24086
FLEV2,8029,24087
FLEV3,8029,32116
FLEV4,8029,64229
FLC,8030,8030
FLEV1,8030,24089
FLEV2,8030,24090
FLEV3,8030,32120
FLEV4,8030,64237
FLC,8031,8031
FLEV1,8031,24092
FLEV2,8031,24093
FLEV3,8031,32124
FLEV4,8031,64245
FLC,8032,8032
FLEV1,8032,24095
FLEV2,8032,24096
FLEV3,8032,32128
FLEV4,8032,64253
FLC,8033,8033
FLEV1,8033,24098
FLEV2,8033,24099
FLEV3,8033,32132
FLEV4,8033,64261
FLC,8034,8034
FLEV1,8034,24101
FLEV2,8034,24102
FLEV3,8034,32136
FLEV4,8034,64269
FLC,8035,8035
FLEV1,8035,24104
FLEV2,8035,24105
FLEV3,8035,32140
FLEV4,8035,64277
FLC,8036,8036
FLEV1,8036,24107
FLEV2,8036,24108
FLEV3,8036,32144
FLEV4,8036,64285
FLC,8037,8037
FLEV1,8037,24110
FLEV2,8037,24111
FLEV3,8037,32148
FLEV4,8037,64293
FLC,8038,8038
FLEV1,8038,24113
FLEV2,8038,24114
FLEV3,8038,32152
FLEV4,8038,64301
FLC,8039,8039
FLEV1,8039,24116
FLEV2,8039,24117
FLEV3,8039,32156
FLEV4,8039,64309
FLC,8040,8040
FLEV1,8040,24119
FLEV2,8040,24120
FLEV3,8040,32160
FLEV4,8040,64317
FLC,8041,8041
FLEV1,8041,24122
FLEV2,8041,24123
FLEV3,8041,32164
FLEV4,8041,64325
FLC,8042,8042
FLEV1,8042,24125
FLEV2,8042,24126
FLEV3,8042,32168
FLEV4,8042,64333
FLC,8043,8043
FLEV1,8043,24128
FLEV2,8043,24129
FLEV3,8043,32172
FLEV4,8043,64341
FLC,8044,8044
FLEV1,8044,24131
FLEV2,8044,24132
FLEV3,8044,32176
FLEV4,8044,64349
FLC,8045,8045
FLEV1,8045,24134
FLEV2,8045,24135
FLEV3,8045,32180
FLEV4,8045,64357
FLC,8046,8046
FLEV1,8046,24137
FLEV2,8046,24138
FLEV3,8046,32184
FLEV4,8046,64365
FLC,8047,8047
FLEV1,8047,24140
FLEV2,8047,24141
FLEV3,8047,32188
FLEV4,8047,64373
FLC,8048,8048
FLEV1,8048,24143
FLEV2,8048,24144
FLEV3,8048,32192
FLEV4,8048,64381
FLC,8049,8049
FLEV1,8049,24146
FLEV2,8049,24147
FLEV3,8049,32196
FLEV4,8049,64389
FLC,8050,8050
FLEV1,8050,24149
FLEV2,8050,24150
FLEV3,8050,32200
FLEV4,8050,64397
FLC,8051,8051
FLEV1,8051,24152
FLEV2,8051,24153
FLEV3,8051,32204
FLEV4,8051,64405
FLC,8052,8052
FLEV1,8052,24155
FLEV2,8052,24156
FLEV3,8052,32208
FLEV4,8052,64413
FLC,8053,8053
FLEV1,8053,24158
FLEV2,8053,24159
FLEV3,8053,32212
FLEV4,8053,64421
FLC,8054,8054
FLEV1,8054,24161
FLEV2,8054,24162
FLEV3,8054,32216
FLEV4,8054,64429
FLC,8055,8055
FLEV1,8055,24164
FLEV2,8055,24165
FLEV3,8055,32220
FLEV4,8055,64437
FLC,8056,8056
FLEV1,8056,24167
FLEV2,8056,24168
FLEV3,8056,32224
FLEV4,8056,64445
FLC,8057,8057
FLEV1,8057,24170
FLEV2,8057,24171
FLEV3,8057,32228
FLEV4,8057,64453
FLC,8058,8058
FLEV1,8058,24173
FLEV2,8058,24174
FLEV3,8058,32232
FLEV4,8058,64461
FLC,8059,8059
FLEV1,8059,24176
FLEV2,8059,24177
FLEV3,8059,32236
FLEV4,8059,64469
FLC,8060,8060
FLEV1,8060,24179
FLEV2,8060,24180
FLEV3,8060,32240
FLEV4,8060,64477
FLC,8061,8061
FLEV1,8061,24182
FLEV2,8061,24183
FLEV3,8061,32244
FLEV4,8061,64485
FLC,8062,8062
FLEV1,8062,24185
FLEV2,8062,24186
FLEV3,8062,32248
FLEV4,8062,64493
FLC,8063,8063
FLEV1,8063,24188
FLEV2,8063,24189
FLEV3,8063,32252
FLEV4,8063,64501
FLC,8064,8064
FLEV1,8064,24191
FLEV2,8064,24192
FLEV3,8064,32256
FLEV4,8064,64509
FLC,8065,8065
FLEV1,8065,24194
FLEV2,8065,24195
FLEV3,8065,32260
FLEV4,8065,64517
FLC,8066,8066
FLEV1,8066,24197
FLEV2,8066,24198
FLEV3,8066,32264
FLEV4,8066,64525
FLC,8067,8067
FLEV1,8067,24200
FLEV2,8067,24201
FLEV3,8067,32268
FLEV4,8067,64533
FLC,8068,8068
FLEV1,8068,24203
FLEV2,8068,24204
FLEV3,8068,32272
FLEV4,8068,64541
FLC,8069,8069
FLEV1,8069,24206
FLEV2,8069,24207
FLEV3,8069,32276
FLEV4,8069,64549
FLC,8070,8070
FLEV1,8070,24209
FLEV2,8070,24210
FLEV3,8070,32280
FLEV4,8070,64557
FLC,8071,8071
FLEV1,8071,24212
FLEV2,8071,24213
FLEV3,8071,32284
FLEV4,8071,64565
FLC,8072,8072
FLEV1,8072,24215
FLEV2,8072,24216
FLEV3,8072,32288
FLEV4,8072,64573
FLC,8073,8073
FLEV1,8073,24218
FLEV2,8073,24219
FLEV3,8073,32292
FLEV4,8073,64581
FLC,8074,8074
FLEV1,8074,24221
FLEV2,8074,24222
FLEV3,8074,32296
FLEV4,8074,64589
FLC,8075,8075
FLEV1,8075,24224
FLEV2,8075,24225
FLEV3,8075,32300
FLEV4,8075,64597
FLC,8076,8076
FLEV1,8076,24227
FLEV2,8076,24228
FLEV3,8076,32304
FLEV4,8076,64605
FLC,8077,8077
FLEV1,8077,24230
FLEV2,8077,24231
FLEV3,8077,32308
FLEV4,8077,64613
FLC,8078,8078
FLEV1,8078,24233
FLEV2,8078,24234
FLEV3,8078,32312
FLEV4,8078,64621
FLC,8079,8079
FLEV1,8079,24236
FLEV2,8079,24237
FLEV3,8079,32316
FLEV4,8079,64629
FLC,8080,8080
FLEV1,8080,24239
FLEV2,8080,24240
FLEV3,8080,32320
FLEV4,8080,64637
FLC,8081,8081
FLEV1,8081,24242
FLEV2,8081,24243
FLEV3,8081,32324
FLEV4,8081,64645
FLC,8082,8082
FLEV1,8082,24245
FLEV2,8082,24246
FLEV3,8082,32328
FLEV4,8082,64653
FLC,8083,8083
FLEV1,8083,24248
FLEV2,8083,24249
FLEV3,8083,32332
FLEV4,8083,64661
FLC,8084,8084
FLEV1,8084,24251
FLEV2,8084,24252
FLEV3,8084,32336
FLEV4,8084,64669
FLC,8085,8085
FLEV1,8085,24254
FLEV2,8085,24255
FLEV3,8085,32340
FLEV4,8085,64677
FLC,8086,8086
FLEV1,8086,24257
FLEV2,8086,24258
FLEV3,8086,32344
FLEV4,8086,64685
FLC,8087,8087
FLEV1,8087,24260
FLEV2,8087,24261
FLEV3,8087,32348
FLEV4,8087,64693
FLC,8088,8088
FLEV1,8088,24263
FLEV2,8088,24264
FLEV3,8088,32352
FLEV4,8088,64701
FLC,8089,8089
FLEV1,8089,24266
FLEV2,8089,24267
FLEV3,8089,32356
FLEV4,8089,64709
FLC,8090,8090
FLEV1,8090,24269
FLEV2,8090,24270
FLEV3,8090,32360
FLEV4,8090,64717
FLC,8091,8091
FLEV1,8091,24272
FLEV2,8091,24273
FLEV3,8091,32364
FLEV4,8091,64725
FLC,8092,8092
FLEV1,8092,24275
FLEV2,8092,24276
FLEV3,8092,32368
FLEV4,8092,64733
FLC,8093,8093
FLEV1,8093,24278
FLEV2,8093,24279
FLEV3,8093,32372
FLEV4,8093,64741
FLC,8094,8094
FLEV1,8094,24281
FLEV2,8094,24282
FLEV3,8094,32376
FLEV4,8094,64749
FLC,8095,8095
FLEV1,8095,24284
FLEV2,8095,24285
FLEV3,8095,32380
FLEV4,8095,64757
FLC,8096,8096
FLEV1,8096,24287
FLEV2,8096,24288
FLEV3,8096,32384
FLEV4,8096,64765
FLC,8097,8097
FLEV1,8097,24290
FLEV2,8097,24291
FLEV3,8097,32388
FLEV4,8097,64773
FLC,8098,8098
FLEV1,8098,24293
FLEV2,8098,24294
FLEV3,8098,32392
FLEV4,8098,64781
FLC,8099,8099
FLEV1,8099,24296
FLEV2,8099,24297
FLEV3,8099,32396
FLEV4,8099,64789
FLC,8100,8100
FLEV1,8100,24299
FLEV2,8100,24300
FLEV3,8100,32400
FLEV4,8100,64797
FLC,8101,8101
FLEV1,8101,24302
FLEV2,8101,24303
FLEV3,8101,32404
FLEV4,8101,64805
FLC,8102,8102
FLEV1,8102,24305
FLEV2,8102,24306
FLEV3,8102,32408
FLEV4,8102,64813
FLC,8103,8103
FLEV1,8103,24308
FLEV2,8103,24309
FLEV3,8103,32412
FLEV4,8103,64821
FLC,8104,8104
FLEV1,8104,24311
FLEV2,8104,24312
FLEV3,8104,32416
FLEV4,8104,64829
FLC,8105,8105
FLEV1,8105,24314
FLEV2,8105,24315
FLEV3,8105,32420
FLEV4,8105,64837
FLC,8106,8106
FLEV1,8106,24317
FLEV2,8106,24318
FLEV3,8106,32424
FLEV4,8106,64845
FLC,8107,8107
FLEV1,8107,24320
FLEV2,8107,24321
FLEV3,8107,32428
FLEV4,8107,64853
FLC,8108,8108
FLEV1,8108,24323
FLEV2,8108,24324
FLEV3,8108,32432
FLEV4,8108,64861
FLC,8109,8109
FLEV1,8109,24326
FLEV2,8109,24327
FLEV3,8109,32436
FLEV4,8109,64869
FLC,8110,8110
FLEV1,8110,24329
FLEV2,8110,24330
FLEV3,8110,32440
FLEV4,8110,64877
FLC,8111,8111
FLEV1,8111,24332
FLEV2,8111,24333
FLEV3,8111,32444
FLEV4,8111,64885
FLC,8112,8112
FLEV1,8112,24335
FLEV2,8112,24336
FLEV3,8112,32448
FLEV4,8112,64893
FLC,8113,8113
FLEV1,8113,24338
FLEV2,8113,24339
FLEV3,8113,32452
FLEV4,8113,64901
FLC,8114,8114
FLEV1,8114,24341
FLEV2,8114,24342
FLEV3,8114,32456
FLEV4,8114,64909
FLC,8115,8115
FLEV1,8115,24344
FLEV2,8115,24345
FLEV3,8115,32460
FLEV4,8115,64917
FLC,8116,8116
FLEV1,8116,24347
FLEV2,8116,24348
FLEV3,8116,32464
FLEV4,8116,64925
FLC,8117,8117
FLEV1,8117,24350
FLEV2,8117,24351
FLEV3,8117,32468
FLEV4,8117,64933
FLC,8118,8118
FLEV1,8118,24353
FLEV2,8118,24354
FLEV3,8118,32472
FLEV4,8118,64941
FLC,8119,8119
FLEV1,8119,24356
FLEV2,8119,24357
FLEV3,8119,32476
FLEV4,8119,64949
FLC,8120,8120
FLEV1,8120,24359
FLEV2,8120,24360
FLEV3,8120,32480
FLEV4,8120,64957
FLC,8121,8121
FLEV1,8121,24362
FLEV2,8121,24363
FLEV3,8121,32484
FLEV4,8121,64965
FLC,8122,8122
FLEV1,8122,24365
FLEV2,8122,24366
FLEV3,8122,32488
FLEV4,8122,64973
FLC,8123,8123
FLEV1,8123,24368
FLEV2,8123,24369
FLEV3,8123,32492
FLEV4,8123,64981
FLC,8124,8124
FLEV1,8124,24371
FLEV2,8124,24372
FLEV3,8124,32496
FLEV4,8124,64989
FLC,8125,8125
FLEV1,8125,24374
FLEV2,8125,24375
FLEV3,8125,32500
FLEV4,8125,64997
FLC,8126,8126
FLEV1,8126,24377
FLEV2,8126,24378
FLEV3,8126,32504
FLEV4,8126,65005
FLC,8127,8127
FLEV1,8127,24380
FLEV2,8127,24381
FLEV3,8127,32508
FLEV4,8127,65013
FLC,8128,8128
FLEV1,8128,24383
FLEV2,8128,24384
FLEV3,8128,32512
FLEV4,8128,65021
FLC,8129,8129
FLEV1,8129,24386
FLEV2,8129,24387
FLEV3,8129,32516
FLEV4,8129,65029
FLC,8130,8130
FLEV1,8130,24389
FLEV2,8130,24390
FLEV3,8130,32520
FLEV4,8130,65037
FLC,8131,8131
FLEV1,8131,24392
FLEV2,8131,24393
FLEV3,8131,32524
FLEV4,8131,65045
FLC,8132,8132
FLEV1,8132,24395
FLEV2,8132,24396
FLEV3,8132,32528
FLEV4,8132,65053
FLC,8133,8133
FLEV1,8133,24398
FLEV2,8133,24399
FLEV3,8133,32532
FLEV4,8133,65061
FLC,8134,8134
FLEV1,8134,24401
FLEV2,8134,24402
FLEV3,8134,32536
FLEV4,8134,65069
FLC,8135,8135
FLEV1,8135,24404
FLEV2,8135,24405
FLEV3,8135,32540
FLEV4,8135,65077
FLC,8136,8136
FLEV1,8136,24407
FLEV2,8136,24408
FLEV3,8136,32544
FLEV4,8136,65085
FLC,8137,8137
FLEV1,8137,24410
FLEV2,8137,24411
FLEV3,8137,32548
FLEV4,8137,65093
FLC,8138,8138
FLEV1,8138,24413
FLEV2,8138,24414
FLEV3,8138,32552
FLEV4,8138,65101
FLC,8139,8139
FLEV1,8139,24416
FLEV2,8139,24417
FLEV3,8139,32556
FLEV4,8139,65109
FLC,8140,8140
FLEV1,8140,24419
FLEV2,8140,24420
FLEV3,8140,32560
FLEV4,8140,65117
FLC,8141,8141
FLEV1,8141,24422
FLEV2,8141,24423
FLEV3,8141,32564
FLEV4,8141,65125
FLC,8142,8142
FLEV1,8142,24425
FLEV2,8142,24426
FLEV3,8142,32568
FLEV4,8142,65133
FLC,8143,8143
FLEV1,8143,24428
FLEV2,8143,24429
FLEV3,8143,32572
FLEV4,8143,65141
FLC,8144,8144
FLEV1,8144,24431
FLEV2,8144,24432
FLEV3,8144,32576
FLEV4,8144,65149
FLC,8145,8145
FLEV1,8145,24434
FLEV2,8145,24435
FLEV3,8145,32580
FLEV4,8145,65157
FLC,8146,8146
FLEV1,8146,24437
FLEV2,8146,24438
FLEV3,8146,32584
FLEV4,8146,65165
FLC,8147,8147
FLEV1,8147,24440
FLEV2,8147,24441
FLEV3,8147,32588
FLEV4,8147,65173
FLC,8148,8148
FLEV1,8148,24443
FLEV2,8148,24444
FLEV3,8148,32592
FLEV4,8148,65181
FLC,8149,8149
FLEV1,8149,24446
FLEV2,8149,24447
FLEV3,8149,32596
FLEV4,8149,65189
FLC,8150,8150
FLEV1,8150,24449
FLEV2,8150,24450
FLEV3,8150,32600
FLEV4,8150,65197
FLC,8151,8151
FLEV1,8151,24452
FLEV2,8151,24453
FLEV3,8151,32604
FLEV4,8151,65205
FLC,8152,8152
FLEV1,8152,24455
FLEV2,8152,24456
FLEV3,8152,32608
FLEV4,8152,65213
FLC,8153,8153
FLEV1,8153,24458
FLEV2,8153,24459
FLEV3,8153,32612
FLEV4,8153,65221
FLC,8154,8154
FLEV1,8154,24461
FLEV2,8154,24462
FLEV3,8154,32616
FLEV4,8154,65229
FLC,8155,8155
FLEV1,8155,24464
FLEV2,8155,24465
FLEV3,8155,32620
FLEV4,8155,65237
FLC,8156,8156
FLEV1,8156,24467
FLEV2,8156,24468
FLEV3,8156,32624
FLEV4,8156,65245
FLC,8157,8157
FLEV1,8157,24470
FLEV2,8157,24471
FLEV3,8157,32628
FLEV4,8157,65253
FLC,8158,8158
FLEV1,8158,24473
FLEV2,8158,24474
FLEV3,8158,32632
FLEV4,8158,65261
FLC,8159,8159
FLEV1,8159,24476
FLEV2,8159,24477
FLEV3,8159,32636
FLEV4,8159,65269
FLC,8160,8160
FLEV1,8160,24479
FLEV2,8160,24480
FLEV3,8160,32640
FLEV4,8160,65277
FLC,8161,8161
FLEV1,8161,24482
FLEV2,8161,24483
FLEV3,8161,32644
FLEV4,8161,65285
FLC,8162,8162
FLEV1,8162,24485
FLEV2,8162,24486
FLEV3,8162,32648
FLEV4,8162,65293
FLC,8163,8163
FLEV1,8163,24488
FLEV2,8163,24489
FLEV3,8163,32652
FLEV4,8163,65301
FLC,8164,8164
FLEV1,8164,24491
FLEV2,8164,24492
FLEV3,8164,32656
FLEV4,8164,65309
FLC,8165,8165
FLEV1,8165,24494
FLEV2,8165,24495
FLEV3,8165,32660
FLEV4,8165,65317
FLC,8166,8166
FLEV1,8166,24497
FLEV2,8166,24498
FLEV3,8166,32664
FLEV4,8166,65325
FLC,8167,8167
FLEV1,8167,24500
FLEV2,8167,24501
FLEV3,8167,32668
FLEV4,8167,65333
FLC,8168,8168
FLEV1,8168,24503
FLEV2,8168,24504
FLEV3,8168,32672
FLEV4,8168,65341
FLC,8169,8169
FLEV1,8169,24506
FLEV2,8169,24507
FLEV3,8169,32676
FLEV4,8169,65349
FLC,8170,8170
FLEV1,8170,24509
FLEV2,8170,24510
FLEV3,8170,32680
FLEV4,8170,65357
FLC,8171,8171
FLEV1,8171,24512
FLEV2,8171,24513
FLEV3,8171,32684
FLEV4,8171,65365
FLC,8172,8172
FLEV1,8172,24515
FLEV2,8172,24516
FLEV3,8172,32688
FLEV4,8172,65373
FLC,8173,8173
FLEV1,8173,24518
FLEV2,8173,24519
FLEV3,8173,32692
FLEV4,8173,65381
FLC,8174,8174
FLEV1,8174,24521
FLEV2,8174,24522
FLEV3,8174,32696
FLEV4,8174,65389
FLC,8175,8175
FLEV1,8175,24524
FLEV2,8175,24525
FLEV3,8175,32700
FLEV4,8175,65397
FLC,8176,8176
FLEV1,8176,24527
FLEV2,8176,24528
FLEV3,8176,32704
FLEV4,8176,65405
FLC,8177,8177
FLEV1,8177,24530
FLEV2,8177,24531
FLEV3,8177,32708
FLEV4,8177,65413
FLC,8178,8178
FLEV1,8178,24533
FLEV2,8178,24534
FLEV3,8178,32712
FLEV4,8178,65421
FLC,8179,8179
FLEV1,8179,24536
FLEV2,8179,24537
FLEV3,8179,32716
FLEV4,8179,65429
FLC,8180,8180
FLEV1,8180,24539
FLEV2,8180,24540
FLEV3,8180,32720
FLEV4,8180,65437
FLC,8181,8181
FLEV1,8181,24542
FLEV2,8181,24543
FLEV3,8181,32724
FLEV4,8181,65445
FLC,8182,8182
FLEV1,8182,24545
FLEV2,8182,24546
FLEV3,8182,32728
FLEV4,8182,65453
FLC,8183,8183
FLEV1,8183,24548
FLEV2,8183,24549
FLEV3,8183,32732
FLEV4,8183,65461
FLC,8184,8184
FLEV1,8184,24551
FLEV2,8184,24552
FLEV3,8184,32736
FLEV4,8184,65469
FLC,8185,8185
FLEV1,8185,24554
FLEV2,8185,24555
FLEV3,8185,32740
FLEV4,8185,65477
FLC,8186,8186
FLEV1,8186,24557
FLEV2,8186,24558
FLEV3,8186,32744
FLEV4,8186,65485
FLC,8187,8187
FLEV1,8187,24560
FLEV2,8187,24561
FLEV3,8187,32748
FLEV4,8187,65493
FLC,8188,8188
FLEV1,8188,24563
FLEV2,8188,24564
FLEV3,8188,32752
FLEV4,8188,65501
FLC,8189,8189
FLEV1,8189,24566
FLEV2,8189,24567
FLEV3,8189,32756
FLEV4,8189,65509
FLC,8190,8190
FLEV1,8190,24569
FLEV2,8190,24570
FLEV3,8190,32760
FLEV4,8190,65517
FLC,8191,8191
FLEV1,8191,24572
FLEV2,8191,24573
FLEV3,8191,32764
FLEV4,8191,65525
FLC,8192,8192
FLEV1,8192,24575
FLEV2,8192,24576
FLEV3,8192,32768
FLEV4,8192,65533
FLC,8193,8193
FLEV1,8193,24578
FLEV2,8193,24579
FLEV3,8193,32772
FLEV4,8193,65541
FLC,8194,8194
FLEV1,8194,24581
FLEV2,8194,24582
FLEV3,8194,32776
FLEV4,8194,65549
FLC,8195,8195
FLEV1,8195,24584
FLEV2,8195,24585
FLEV3,8195,32780
FLEV4,8195,65557
FLC,8196,8196
FLEV1,8196,24587
FLEV2,8196,24588
FLEV3,8196,32784
FLEV4,8196,65565
FLC,8197,8197
FLEV1,8197,24590
FLEV2,8197,24591
FLEV3,8197,32788
FLEV4,8197,65573
FLC,8198,8198
FLEV1,8198,24593
FLEV2,8198,24594
FLEV3,8198,32792
FLEV4,8198,65581
FLC,8199,8199
FLEV1,8199,24596
FLEV2,8199,24597
FLEV3,8199,32796
FLEV4,8199,65589
FLC,8200,8200
FLEV1,8200,24599
FLEV2,8200,24600
FLEV3,8200,32800
FLEV4,8200,65597
FLC,8201,8201
FLEV1,8201,24602
FLEV2,8201,24603
FLEV3,8201,32804
FLEV4,8201,65605
FLC,8202,8202
FLEV1,8202,24605
FLEV2,8202,24606
FLEV3,8202,32808
FLEV4,8202,65613
FLC,8203,8203
FLEV1,8203,24608
FLEV2,8203,24609
FLEV3,8203,32812
FLEV4,8203,65621
FLC,8204,8204
FLEV1,8204,24611
FLEV2,8204,24612
FLEV3,8204,32816
FLEV4,8204,65629
FLC,8205,8205
FLEV1,8205,24614
FLEV2,8205,24615
FLEV3,8205,32820
FLEV4,8205,65637
FLC,8206,8206
FLEV1,8206,24617
FLEV2,8206,24618
FLEV3,8206,32824
FLEV4,8206,65645
FLC,8207,8207
FLEV1,8207,24620
FLEV2,8207,24621
FLEV3,8207,32828
FLEV4,8207,65653
FLC,8208,8208
FLEV1,8208,24623
FLEV2,8208,24624
FLEV3,8208,32832
FLEV4,8208,65661
FLC,8209,8209
FLEV1,8209,24626
FLEV2,8209,24627
FLEV3,8209,32836
FLEV4,8209,65669
FLC,8210,8210
FLEV1,8210,24629
FLEV2,8210,24630
FLEV3,8210,32840
FLEV4,8210,65677
FLC,8211,8211
FLEV1,8211,24632
FLEV2,8211,24633
FLEV3,8211,32844
FLEV4,8211,65685
FLC,8212,8212
FLEV1,8212,24635
FLEV2,8212,24636
FLEV3,8212,32848
FLEV4,8212,65693
FLC,8213,8213
FLEV1,8213,24638
FLEV2,8213,24639
FLEV3,8213,32852
FLEV4,8213,65701
FLC,8214,8214
FLEV1,8214,24641
FLEV2,8214,24642
FLEV3,8214,32856
FLEV4,8214,65709
FLC,8215,8215
FLEV1,8215,24644
FLEV2,8215,24645
FLEV3,8215,32860
FLEV4,8215,65717
FLC,8216,8216
FLEV1,8216,24647
FLEV2,8216,24648
FLEV3,8216,32864
FLEV4,8216,65725
FLC,8217,8217
FLEV1,8217,24650
FLEV2,8217,24651
FLEV3,8217,32868
FLEV4,8217,65733
FLC,8218,8218
FLEV1,8218,24653
FLEV2,8218,24654
FLEV3,8218,32872
FLEV4,8218,65741
FLC,8219,8219
FLEV1,8219,24656
FLEV2,8219,24657
FLEV3,8219,32876
FLEV4,8219,65749
FLC,8220,8220
FLEV1,8220,24659
FLEV2,8220,24660
FLEV3,8220,32880
FLEV4,8220,65757
FLC,8221,8221
FLEV1,8221,24662
FLEV2,8221,24663
FLEV3,8221,32884
FLEV4,8221,65765
FLC,8222,8222
FLEV1,8222,24665
FLEV2,8222,24666
FLEV3,8222,32888
FLEV4,8222,65773
FLC,8223,8223
FLEV1,8223,24668
FLEV2,8223,24669
FLEV3,8223,32892
FLEV4,8223,65781
FLC,8224,8224
FLEV1,8224,24671
FLEV2,8224,24672
FLEV3,8224,32896
FLEV4,8224,65789
FLC,8225,8225
FLEV1,8225,24674
FLEV2,8225,24675
FLEV3,8225,32900
FLEV4,8225,65797
FLC,8226,8226
FLEV1,8226,24677
FLEV2,8226,24678
FLEV3,8226,32904
FLEV4,8226,65805
FLC,8227,8227
FLEV1,8227,24680
FLEV2,8227,24681
FLEV3,8227,32908
FLEV4,8227,65813
FLC,8228,8228
FLEV1,8228,24683
FLEV2,8228,24684
FLEV3,8228,32912
FLEV4,8228,65821
FLC,8229,8229
FLEV1,8229,24686
FLEV2,8229,24687
FLEV3,8229,32916
FLEV4,8229,65829
FLC,8230,8230
FLEV1,8230,24689
FLEV2,8230,24690
FLEV3,8230,32920
FLEV4,8230,65837
FLC,8231,8231
FLEV1,8231,24692
FLEV2,8231,24693
FLEV3,8231,32924
FLEV4,8231,65845
FLC,8232,8232
FLEV1,8232,24695
FLEV2,8232,24696
FLEV3,8232,32928
FLEV4,8232,65853
FLC,8233,8233
FLEV1,8233,24698
FLEV2,8233,24699
FLEV3,8233,32932
FLEV4,8233,65861
FLC,8234,8234
FLEV1,8234,24701
FLEV2,8234,24702
FLEV3,8234,32936
FLEV4,8234,65869
FLC,8235,8235
